,ano-mes,ESTADO,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA
0,2004-05,ACRE,9.809166666666668,12.9325
27,2004-06,ACRE,9.780625,12.82125
54,2004-07,ACRE,9.9215,12.7175
81,2004-08,ACRE,9.945,12.68875
108,2004-09,ACRE,9.96625,12.9375
135,2004-10,ACRE,9.977,12.875
162,2004-11,ACRE,10.008125,12.7625
189,2004-12,ACRE,10.006875,12.8875
216,2005-01,ACRE,10.34,12.954500000000001
243,2005-02,ACRE,10.3659375,12.93625
270,2005-03,ACRE,10.355,13.03
297,2005-04,ACRE,10.352500000000001,13.2125
324,2005-05,ACRE,10.343125,13.025
351,2005-06,ACRE,10.235,13.15
378,2005-07,ACRE,10.2659,13.0625
405,2005-08,ACRE,10.27375,13.415
432,2005-09,ACRE,10.3,12.948125000000001
459,2005-10,ACRE,10.0045,13.007499999999999
486,2005-11,ACRE,9.463750000000001,13.055625
513,2005-12,ACRE,9.4505,13.1585
540,2006-01,ACRE,9.995625,13.260625
567,2006-02,ACRE,10.508125,13.384375
594,2006-03,ACRE,10.54625,13.4025
621,2006-04,ACRE,10.65,13.472999999999999
648,2006-05,ACRE,10.6125,13.514375
675,2006-06,ACRE,10.40875,13.3525
702,2006-07,ACRE,10.746500000000001,13.594
729,2006-08,ACRE,10.6775,13.669375
756,2006-09,ACRE,10.5965,13.64
783,2006-10,ACRE,10.793750000000001,13.6525
810,2006-11,ACRE,10.655,13.64
837,2006-12,ACRE,10.553,13.64
864,2007-01,ACRE,10.675625,13.64
891,2007-02,ACRE,10.681875,13.665
918,2007-03,ACRE,10.7545,13.665000000000001
945,2007-04,ACRE,10.771875,13.665
972,2007-05,ACRE,10.769375,13.665
999,2007-06,ACRE,10.7575,13.665000000000001
1026,2007-07,ACRE,10.731875,13.8525
1053,2007-08,ACRE,10.730625,13.785
1080,2007-09,ACRE,10.724,13.803
1107,2007-10,ACRE,10.711875000000001,13.77
1134,2007-11,ACRE,10.725,13.8375
1161,2007-12,ACRE,10.723,14.016499999999999
1188,2008-01,ACRE,10.75875,13.7275
1215,2008-02,ACRE,10.774375,13.665
1242,2008-03,ACRE,10.754,13.815000000000001
1269,2008-04,ACRE,10.771875,13.665
1296,2008-05,ACRE,10.921000000000001,13.699000000000002
1323,2008-06,ACRE,10.988125,13.7075
1350,2008-07,ACRE,10.9,13.7075
1377,2008-08,ACRE,10.943999999999999,13.7079
1404,2008-09,ACRE,11.02,13.711875
1431,2008-10,ACRE,11.069375,13.8675
1458,2008-11,ACRE,11.1043,13.992500000000001
1485,2008-12,ACRE,11.180625000000001,13.9925
1512,2009-01,ACRE,11.182500000000001,13.992500000000001
1539,2009-02,ACRE,11.18875,14.180625000000001
1566,2009-03,ACRE,11.126875,13.99375
1593,2009-04,ACRE,11.1525,14.3675
1620,2009-05,ACRE,11.1295,14.2925
1647,2009-06,ACRE,11.07625,14.1775
1674,2009-07,ACRE,11.12875,13.9825
1701,2009-08,ACRE,11.159999999999998,13.9825
1728,2009-09,ACRE,11.161875,12.4535
1755,2009-10,ACRE,11.326,14.734
1782,2009-11,ACRE,10.205555555555556,12.955555555555556
1809,2009-12,ACRE,10.756411764705883,14.022941176470587
1836,2010-01,ACRE,10.763333333333334,14.063809523809523
1863,2010-02,ACRE,10.891058823529411,14.032941176470588
1890,2010-03,ACRE,11.4568125,14.7675
1917,2010-04,ACRE,11.54175,14.7675
1944,2010-05,ACRE,11.4469,14.857499999999998
1971,2010-06,ACRE,11.388,14.734375
1998,2010-07,ACRE,11.336,14.719999999999999
2025,2010-08,ACRE,11.571125,14.728125
2052,2010-09,ACRE,11.7636875,14.717500000000001
2079,2010-10,ACRE,11.6949,15.163
2106,2010-11,ACRE,11.728125,15.463750000000001
2133,2010-12,ACRE,11.78175,15.465625000000001
2160,2011-01,ACRE,11.735899999999999,15.461500000000001
2187,2011-02,ACRE,11.8460625,15.483125
2214,2011-03,ACRE,11.78675,15.4975
2241,2011-04,ACRE,11.650749999999999,15.5495
2268,2011-05,ACRE,11.922062500000001,15.528125
2295,2011-06,ACRE,11.892312500000001,15.55
2322,2011-07,ACRE,12.0969,15.5435
2349,2011-08,ACRE,12.201875,15.5499375
2376,2011-09,ACRE,12.19625,15.525
2403,2011-10,ACRE,12.118500000000001,15.556899999999999
2430,2011-11,ACRE,12.089375,15.549312500000001
